0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:52:34 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:55:37 +0900] "GET /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:55:52 +0900] "POST /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:56:15 +0900] "POST /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:56:24 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:56:24 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:57:12 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:57:12 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:58:14 +0900] "POST /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:58:24 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:58:24 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:59:02 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:59:05 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:59:11 +0900] "POST /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:59:13 +0900] "POST /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:59:24 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:59:24 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:59:58 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:00:35 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:00:35 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:06 +0900] "POST /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:18 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:18 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:56 +0900] "POST /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:56 +0900] "GET /Nexon/css/id_find.css HTTP/1.1" 200 11434
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:56 +0900] "GET /Nexon/css/menu.css HTTP/1.1" 200 9847
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:56 +0900] "GET /Nexon/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:56 +0900] "GET /Nexon/js/jquery-ui.min.js HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:56 +0900] "GET /Nexon/js/prefixfree.min.js HTTP/1.1" 200 6242
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:56 +0900] "GET /Nexon/js/jquery.easing.1.3.js HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:56 +0900] "GET /Nexon/js/menu.js HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:56 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 200 8128
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:56 +0900] "GET /Nexon/images/main_logo.png HTTP/1.1" 200 14352
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:56 +0900] "GET /Nexon/images/close.png HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:02:56 +0900] "GET /Nexon/images/list_icon.png HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:03:09 +0900] "POST /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:03:09 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:03:34 +0900] "POST /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:03:34 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 200 7994
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:03:40 +0900] "POST /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:03:40 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:19:18 +0900] "GET /Nexon/login/pwd_find.jsp HTTP/1.1" 200 12455
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:19:18 +0900] "GET /Nexon/css/pwd_find.css HTTP/1.1" 200 11713
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:19:18 +0900] "GET /Nexon/js/pwd_find.js HTTP/1.1" 200 9031
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:19:44 +0900] "GET /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:19:44 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 200 9372
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:19:44 +0900] "GET /Nexon/login/pwd_find.jsp HTTP/1.1" 200 12455
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:30:35 +0900] "GET /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:30:36 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:32:12 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:32:12 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:32:55 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:33:00 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:33:25 +0900] "GET /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:33:25 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:33:33 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:35:42 +0900] "GET /Nexon/login/pwd_find.jsp HTTP/1.1" 200 12455
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:12 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/js/main.js HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/js/banner.js HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:40:13 +0900] "GET /Nexon/css/main.css HTTP/1.1" 200 11144
