127.0.0.1 - - [10/Aug/2020:17:43:37 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:43:59 +0900] "GET /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:43:59 +0900] "GET /Nexon/css/id_find.css HTTP/1.1" 200 11434
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:43:59 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 200 8179
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:44:12 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:44:12 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:44:22 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:46:24 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:46:26 +0900] "GET /Nexon/nexon.gd?type=loginForm HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:46:28 +0900] "GET /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:46:37 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:46:41 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:47:44 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:47:47 +0900] "GET /Nexon/nexon.gd?type=loginForm HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:47:48 +0900] "GET /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:00 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:03 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:47 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:47 +0900] "GET /Nexon/css/main.css HTTP/1.1" 200 11144
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:47 +0900] "GET /Nexon/css/menu.css HTTP/1.1" 200 9847
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:47 +0900] "GET /Nexon/css/mobile_main.css HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:47 +0900] "GET /Nexon/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:47 +0900] "GET /Nexon/js/jquery-ui.min.js HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:47 +0900] "GET /Nexon/js/jquery.easing.1.3.js HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:47 +0900] "GET /Nexon/css/banner.css HTTP/1.1" 200 10927
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:47 +0900] "GET /Nexon/js/prefixfree.min.js HTTP/1.1" 200 6242
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:47 +0900] "GET /Nexon/js/menu.js HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:47 +0900] "GET /Nexon/js/main.js HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:47 +0900] "GET /Nexon/js/banner.js HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/main_logo.png HTTP/1.1" 200 14352
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/close.png HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/list_icon.png HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/game_1.png HTTP/1.1" 200 81828
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/game_2.png HTTP/1.1" 200 207877
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/game_3.png HTTP/1.1" 200 163456
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/mobile_game_1.png HTTP/1.1" 200 231161
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/mobile_game_2.png HTTP/1.1" 200 181470
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/mobile_game_3.png HTTP/1.1" 200 208802
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/other_login_btn_1.png HTTP/1.1" 200 1398
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/other_login_btn_2.png HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/other_login_btn_3.png HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/other_login_btn_4.png HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/prev_icon.png HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/footer_logo.PNG HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/pause_icon.png HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/next_icon.png HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:48 +0900] "GET /Nexon/images/start_icon.png HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:49 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:49 +0900] "GET /Nexon/nexon.gd?type=loginForm HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:49 +0900] "GET /Nexon/css/login.css HTTP/1.1" 200 9348
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:49 +0900] "GET /Nexon/js/login.js HTTP/1.1" 200 3626
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:49 +0900] "GET /Nexon/images/facebook_btn.png HTTP/1.1" 200 4219
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:49 +0900] "GET /Nexon/images/google_btn.PNG HTTP/1.1" 200 4394
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:49 +0900] "GET /Nexon/images/naver_btn.PNG HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:49 +0900] "GET /Nexon/images/apple_btn.PNG HTTP/1.1" 200 3517
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:51 +0900] "GET /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:51 +0900] "GET /Nexon/css/id_find.css HTTP/1.1" 200 11434
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:48:51 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 200 8324
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:49:00 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:49:00 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:49:06 +0900] "POST /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [10/Aug/2020:17:49:06 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:08:13 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:08:28 +0900] "GET /Nexon/notice/notice_list.jsp HTTP/1.1" 200 15760
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:08:28 +0900] "GET /Nexon/css/notice_list.css HTTP/1.1" 200 11493
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:08:38 +0900] "GET /Nexon/qna/qna.jsp HTTP/1.1" 200 14459
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:08:39 +0900] "GET /Nexon/css/qna.css HTTP/1.1" 200 9633
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:08:40 +0900] "GET /Nexon/qna/qna_write.jsp HTTP/1.1" 200 12663
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:08:40 +0900] "GET /Nexon/js/qna_write.js HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:08:40 +0900] "GET /Nexon/css/qna_write.css HTTP/1.1" 200 9466
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:21 +0900] "GET /Nexon/notice/notice_list.jsp HTTP/1.1" 200 15760
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:22 +0900] "GET /Nexon/notice/notice.jsp HTTP/1.1" 200 12680
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:22 +0900] "GET /Nexon/css/notice.css HTTP/1.1" 200 13280
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:30 +0900] "GET /Nexon/notice/notice_list.jsp HTTP/1.1" 200 15760
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/event/event.jsp HTTP/1.1" 200 17799
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/css/event.css HTTP/1.1" 200 10577
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/js/event.js HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/images/event_img_1.PNG HTTP/1.1" 200 367904
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/images/event_img_2.PNG HTTP/1.1" 200 140671
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/images/event_img_3.PNG HTTP/1.1" 200 251076
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/images/game_kind_img_2.png HTTP/1.1" 200 4566
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/images/game_kind_img_1.png HTTP/1.1" 200 4570
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/images/event_img_4.PNG HTTP/1.1" 200 338773
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/images/game_kind_img_3.png HTTP/1.1" 200 4223
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/images/event_img_5.PNG HTTP/1.1" 200 293008
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/images/game_kind_img_4.png HTTP/1.1" 200 4446
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/images/event_img_6.PNG HTTP/1.1" 200 291141
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/images/game_kind_img_5.png HTTP/1.1" 200 5025
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:36 +0900] "GET /Nexon/images/game_kind_img_6.png HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:47 +0900] "GET /Nexon/qna/qna.jsp HTTP/1.1" 200 14459
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:50 +0900] "GET /Nexon/qna/qna_mobile.jsp HTTP/1.1" 200 14563
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:50 +0900] "GET /Nexon/css/qna_mobile.css HTTP/1.1" 200 9631
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:52 +0900] "GET /Nexon/login/login.jsp HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:09:59 +0900] "POST /Nexon/login/nexon.gd?type=login HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:10:15 +0900] "POST /Nexon/login/nexon.gd?type=login HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:14:03 +0900] "GET /Nexon/login/login.jsp HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [10/Aug/2020:18:14:09 +0900] "POST /Nexon/login/nexon.gd?type=login HTTP/1.1" 404 1143
